comment,sent_majority,sarc_majority
sabar semua... ini semua ketentuan tuhan... kikiki,pos,sarc
Bodoh punya...kalau budak itu umur 17 atau 18 tak ada pengalaman langsung perlukah kita bg gaji minuman...bodoh tolol,neg,non-sarc
"Bajet sgt, bg selaras la trus semenanjung dgn sabah sarawak dpt rm1000",pos,sarc
Sektor swasta akan terus direjam....bangkrap!!!....titik,neg,sarc
Lps ni makin mahal la barang2.. Gaji pokok dah naik.. Brg pon naik,pos,sarc
Maid indon senang2 mintak gaji 1200...yg rakyat tempatan minimum 900 ...??? Menteri buta kayu ke hapa??,pos,sarc
Byk gila Rm1000 tu...,pos,sarc
Tipu sja ni.....,neg,sarc
Minimun ..sembang je...tapi penyelarasan tiada...hampeh..,pos,sarc
Bodoh punya kerajaan persekutuan.. fikir barang kat swak & sabah murah kah.. dahlah cukai barang mahal.. memang bodoh lah.. otak engkah kat lutut,neg,non-sarc
Kenapa ada perbezaan di antara Semenanjung dan Sabah Sarawak...1 Malaysia konon.,pos,sarc
"Gaji minimum sektor swasta disapu bersih mat bangla,nepal,myanmar,vietnam.puihhh",neg,sarc
nape nk double standard mcm ni...sabah n sarawak bkan dlm malaysia ke....,neg,sarc
Maka ramai warga asing nak masuk ke malaysia....gaji sama dengan warga negara....rakyat malaysia tak kerja...semua penuh dengan warga asing...tahniah #malaysiaku,pos,sarc
kecik sangat tak cukup,neg,sarc
kenapa budjet tu.mula bulan julai...ye..sebap sempat kutip gst ke..dulu huhu,pos,sarc
Terbaiklah dato najib . kami tetap sokong dato najib .,pos,non-sarc
Untung la..permulaan kja basic 1000..aku kja 3thn baru dpt basic ni..huhuhu,pos,non-sarc
1 malaysia tapi gaji tak sama...,pos,sarc
klu swasta kena tgu julai baru naik kalau gomen esok dah start naik..nasib la nak ooiii,pos,sarc
Gah canang malaysia bakal jadi negara maju 5 tahun lagi tapi jutaan masih menerima gaji bawah 1000 ringgit....maju apa kejadahh...!!,neg,sarc
"Sabah ,sarawak,labuan pun ada GST lh ,,,apa psl tak sama,,,,,tp klau Undi  sabah sarawak yg puji lebih ,,,isisisis,,, ini tak adil !!!",neg,non-sarc
Bodoh mana cukup kos kehidupan tinggi dengan barang nsik minyak naik tol naik dangan GST lagi. Dengan  dapat PM dan Meteri Meteri bodoh lagi banggan...,neg,sarc
Najib ingat sarawakians makan mi kolok tiap2 hari ka? Mentang2 mi kolok xda gst.. Knp gaji min sbh srwk lbh rendah compared to smnjung? Owh inilah yg dikatakan satu malaysia.. Semuanya sama rata mcm dacing BN.,neg,sarc
Eh babi lah sial asik pekerja awam saja yg naik gaji. Memang babi lah sial,neg,non-sarc
Gaji minimum 900 dulu pun bukan semua laksanakan. Inikan pulak 1000. Just in ur dream lah.,pos,sarc
"Jgn pilih kasih kerna sabah dn serawak ada lh penyumbang ter besar kpda krjaan undi umno dn sabah dn serawak lh penyumbang dana dr segi pendapatn kewangan yg tinggi, jdi knpa gaji org sabah dn serawak lebuan begitu rendah palui pnya org",neg,sarc
Menteri ni tak tau ke yg kos hidup kt sabah swak dah macam di kl.. adui...knp xselaraskan je...,pos,sarc
"tak adil.. bila nk selaras.. kesian la org sarawak, sabah dan labuan... bila nk ditirikan... kan satu malaysia... Najib2...",neg,sarc
Apalah dosa Sabah & Sarawak....selalu dianak tirikan...bongok pny kerajaan...,neg,sarc
1 Bangsa? 1 Negara? 1 Matlamat? 1 MALAYSIA? TAPI KENAPA SABAH DAN SARAWAK PERLU DIBERIKAN LAYANAN “DOUBLE STANDARD” DI MALAYSIA?,pos,sarc
Kata satu malaysia...tpi nape sabah swk rm 920???kalo rm1000 tahap miskin niekan pulak yg rm920....sepatutnya samarata sebab kami disbah swk pun bayar gst dgn nilai yg sama...malah kami kena kos penghantaran membuatkan brg lebih mahal dri semenanjung....satu malaysia kena ulam,neg,sarc
Alhamdulillh..tp nape xselaraskn smua sama,pos,sarc
Still tak boleh kalahkan PR punya gaji minimum dulu 1100 Haha,pos,sarc
pkja awam rm1200 minimum.. swasta rm1000.. sbh srwk rm920.. knp x selaraskan je bia sume sme.. sume mkn nasik jugakk.. nk bg tu bia adil utk sume.. dgn kos sara hidup skng rm1000 tu cukup ke..,pos,sarc
alang2 kasi naik sikit ja tu,pos,sarc
itu julai dpan . bkn tahun ni >_<,pos,sarc
kesan??hahaha...,pos,sarc
920 tu cukup ker untuk bayar bangsat GST??brim bagi pun ckit...puihhhhh!!!!,neg,non-sarc
Tdk adil...,neg,non-sarc
Rm1000??????? Bayar bangsat GST pun tak cukup?????? Menyusahkan rakyat kao kao.......,neg,sarc
Kau ingt 1000 tu cukup hahaha.. bukn ni gaji zamn 70/80an kee...,pos,sarc
Yey!!,pos,non-sarc
"pelik aku..dulu bising brpendapatan rendah cukai tgi..yg kaya brtambh kaya,miskin brtambah miskin...skrg yg kaya dikenakan cukai tgi,korg bising jgk?..bkn korg yg mintak ker?.",pos,sarc
Dasar gaji n cukai ni confirm harga barang naik walau pun ada yg syiok gn brim n rm500,pos,sarc
Utk yg pendapatan rm600k-rm1million per year la weyy.. ni ramai komen tanpa baca dulu.. aparaa!,pos,non-sarc
hahahaaaa..... kan aku dah kata,pos,sarc
Nasib baik pendapatan sederhana turun.. Alhamdulillah.,pos,non-sarc
"Wow, rakyat malaysia kita masyukkkk...hahahaha....",pos,sarc
Pendapatan 600k /anl ke atas..tp yg gaji 3500 dan ke atas tu..ko byr mcm biasa kihkih,pos,sarc
"Korek jib korek duit rakyat seprogesif yang boleh.. Dimane ada lubuk boleh korek, sila la korek sehabis2nya biar sampai rakyat jatuh terjelupuk. Phuiii",neg,sarc
Ramainya orang kaya kat sini :-P,pos,sarc
"Aku tak dpt brim,  duit cukai yg aku bayar kat lhdn,  nak bayar kpd penerima brim.. hahahah",pos,sarc
Mesti hampa tk baca berapa pendapatan tersebut haha,pos,non-sarc
Baguslah tu,pos,non-sarc
Semua mau naik....aiyaaaa...makan roti looooo...amik cukai gaji kasar...ce amik gaji bersih pas tolak segala...tgk rakyat mampu x nak hidup....aptb...,neg,sarc
Mcm x galakan gaji rakyat tinggi je..,neg,sarc
Sekarang dah 23%-26% .... Ni gila namanya,neg,non-sarc
Firaun,neg,sarc
Kerajaan BN nak sembelih rakyat?. Nanti kita sembelih dia dlm PRU 14 akan datang. Kerajaan buat hutang...rakyat yg nak kena tanggung. Ini geng Malaun & Penyangak Negara.,neg,non-sarc
Yg masaalah rakyat biasa yg keno dan pemimpin lepas dari tax,neg,non-sarc
Yg bising2 ni pendapatan 600k-1m keatas ke? Hahahah,pos,non-sarc
Hahaha...kan dah kata...kuikuikui..,pos,sarc
tu je krajaan pndai buat..naikkan cukai..mkn hasil titik peluh rakyat...,pos,sarc
Pendapatan 600 000 ke atas...ok laaa tu....,pos,non-sarc
Alhamdulillah PM NAJIB igt tu bayar cukai extra 3% Kan dh jd org berpendapatan tinggi,pos,sarc
Phuiiiii semua nak naik jer....bengong,neg,sarc
Tu lah dia... Dpt brim... Cukai pendapatan naik le,pos,sarc
Makin lari la pelabur asing. Bijak abam najib.,neg,sarc
Hehehe..baik tu..klo yg derme2...tk payah kena cukai..ok jgk....terbaik..,pos,sarc
taik,neg,non-sarc
Songlap duit ptptn kami la.... Ape lagii... Tkkn tk bese,neg,sarc
"Jadi apa tugas hampa sebagai peneraju kera  jaan?...mengsonglap, merasuah, mengugut,mengkaya anak beranak ...tu saja yg hampa reti?....bengong....",neg,sarc
Ekonomi baik katenya......antar anak ke U ibubapa ikat perut bergolok bergadai abis U anak2 ikat perut dgn gaji yg kecik entah2 peluang kerja pun x ade terpaksa berebut ngan bangsa asing.,pos,sarc
"Inilah kerajaan bangsat, mengutip duit dari rakyat sahaja yang tahu segala tanggungjawab kerajaan semua nak serah jepada rakyat, tahukah kau wahai menteri rasuah dgn keadaan ini langkah termudah adalah dgn menaikan segala bayaran yang yg bersangkut paut untuk memasuki IPTA, ini semua akan menaikan kos dan menambah beban rakyat. Kerajaan yg berhutang sesuka hati rakyat dibodohkan untuk menanggung semuanya.",neg,non-sarc
Hahaha... DEB. La ni. Dasar ekonomi Babi. ??,neg,sarc
Dulu cakap ok ja,pos,sarc
haritu suruh student masak nasi goreng x dok gst la ni nk suh cari duit utk dana u plak.. idea org x berakal dn pntg diri..janji gaji menteri naik..janji dicapati betul,neg,sarc
Tak patut....,neg,non-sarc
Apa nak jadi ni..,pos,non-sarc
kan betul pembangkang ckap yuran universiti/kolej akan naik? haha padan la muka korang,neg,sarc
makin sedih2..,neg,non-sarc
"Sekolah kena cari duit sendiri, sumbernya tentulah ibubapa. Mana hasil gst yg kononnya utk pembangunan negara",pos,sarc
Aku mampu tolong gelak kan je.. Hahahaha,pos,sarc
Pantek apa..nk naik yuran blaja gak ke?sial la kerajaan skrg ni..,neg,sarc
Cari Dana jual bentut lah..masa belajar nak cari Dana kat mane..kalau dah lulus GI luar negara kerja..negara nie until spm je,neg,non-sarc
lepas SPM jgn msk ipta msk permata.. permata banyak dana.. hahaha,pos,sarc
"Menteri bodoh, mcm mana org ni boleh jdi menteri",neg,sarc
Kemah keming pah ni...brasa gigil kpala lutut nak sambung study,pos,sarc
cari dana macam mana? mintak student jual pe?,pos,sarc
"Bodo punya statement dari menteri..drpd cari DANA,baek cari DIANA..lg bes..",neg,sarc
hehehe..menteri nak menswastakan universiti..,pos,sarc
Eh ....bukan najib kata ekonomi malaysia kukuh dan mapan ke....mana satu yg betul ni,pos,sarc
"Kalau institusi pengajian suruh cari dana sendiri,kalau menteri punya hal ehwal korek duit rakyat, apa punya manusia lah yg dilantik jadi pemimpin..., bkn ker kutipan cukai segala bagai  adalah untuk menampung instutusi pengajian rakyat dsbnya...jgn korupsi dan penyalahgunaan kuasa yg menybbkan ketidakstabilan ekonomi negara ini, menyebabkan kalian pemimpin yg dlm katogori tidak amanah menumpokan dan mengadai masa depan anak bangsa sendiri....kami boleh jer berusaha tetapi kalian yg diharapkan mentadbir dgn penuh amanah turun ke bawah tak payah jadi pemimpin kalau sekadar nak menjaga temolok sendiri n kroni.....marah memang kami marah...kenyataan koorang ni ibarat koomer belajor dulu xgunakkan duit rakyat.sampahhhhhhh",neg,non-sarc
Aaiks...negara tak stabil ?  Kata ok !,pos,sarc
"Tu hari cakap terpaksa naikkan toll untuk bina sekolah dan hospital, skrg disuruh cari dana sendiri?? Nampak sangat BN ni tipu rakyat hidup hidup",neg,non-sarc
Hadiah utk pro aspirasi..hehe,pos,sarc
"bab pendidikan BN buat main2, peruntukn utk jabatan PM naik pulak?!",pos,sarc
Pendidikan kini jadi mangsa.,neg,non-sarc
Amboii kau ni..sruh la 1mdb cri dana sndri bkn amek dana krajaan yg kutip ckai dri rkyt..tgur boss kau dlu sblum tegur rkyt,pos,sarc
Suruh najib pulang duit rakyat,neg,non-sarc
la najib kata ekonomi malaysia kukuh..siap bg lg no ranking..tp aku lupa ranking bape...putar alam btl la korg ni..dey paria..bodoh pny ahli2 umno..,neg,sarc
"Ekonomi negara memang sdh merosot pun,najib ja x mao mengaku..apa nk jd la dngan m'sia ni...",neg,non-sarc
Kat parlimen berteriak2 kata Ekonomi sangat bagus Dan di landasan yang betul. Ini cakap lain pulak . Tak boleh ke kurang kan bajet Jabatan Perdana Menteri yang 24 billion RM tu?,neg,non-sarc
Mcm tu kelak...IPTA DIselubungi rasuah...sbb mencari sumber...nk lulus rasuah dll,neg,non-sarc
ehh bukan ke PM kata ekonomi kita mantap!! sapa yg tipu ni?,pos,sarc
Kata pm budget n peruntukan utk pendidikan be juta juta. Now menteri  suruh cari Dana sendiri.PEMBOHONG lagi??,pos,sarc
Dah penyangak yg tadbir negara..,neg,non-sarc
boleh mintak khidmat Cikgu Murni utk minta dana pada Haji Bakhil...lol,pos,sarc
najib kata ekoonomi stabil idris jusoh kata x stabil sapa nk petcaya cm ni,pos,sarc
Naa mati pelajar masuk u...,neg,non-sarc
 “Satu idea bagus cari dana sendiri” Caj sana sini cut budget sana sini,pos,sarc
makin bangang umnoo ni..pngundi umnoo xpyh tny la mmg bhlol sejak azali lg,neg,sarc
2.6 kan hadooo....,pos,sarc
Jib cakap ekonomi malaysia dalam proses berkembang maju.. ?? ni ckp lain pula..,pos,sarc
"Saya setuju jika ipta cari dana sendiri dan tak bergantung pd kementerian sj. Tp adakah ini masa yg sesuai utk laksanakan? Dlm keadaan ekonomi merudum, duit negara lesap akibat salah tadbir urus? Dibiarkan ipta terkapai2 lemas sendiri.. Kerajaan excited bina berpuluh2 universiti, konon utk masa dpn rakyat. Kualiti graduate hilang, projek2 bina universiti diagih2 utk kepentingan kroni. Akhirnya, bila dh melambak universiti, kementerian tak mampu nk tanggung kos, disuruhnya cari dana sendiri..terima kasih Pak Menteri, kita jumpa di akhirat..",pos,sarc
Bodoh betul pembangkang yg mentadbir negara selama ini sehinggakan ekonomi kita tak stabil.,pos,sarc
 “dapat membantu mengunjur (ekonomi negara yang kini berada pada tahap yang kurang stabil)” tapi najib kate ekonomi negara dalam keadaan stabil hmm,pos,sarc
"budak2 nak belajar dipotongnya la duit...bantuan dah la susah nak dpt...zakat haram nak bg...bila xdpt belajar dikatanya pemalas, xnak belajar...mcm mana nak belajar kalo nak mkn pon susah...para penguasa sekalian...nnt jwb la kat akhirat ye...skrg mmg xnmpk...hati gelap mkn duit xberkat",pos,sarc
apeni.. baru bentang bajet ..blum blanjer lg la wei... dah kata bajet kurang stabil.... ni iklas ke tidak ni blanjer utk rakyat.... meroyan ke peni... tlg la kerajaan.. jgn bg rakyat lebih ramai kene demam KEPIALU..... pening2...,pos,sarc
abistu cukai yg dibayar ko nak buat ape..???? masuk poket korang ke..???,pos,sarc
Najib ckp ekonomi kita mengembang baik...acaner deme ni,pos,sarc
Idea trbaik,pos,non-sarc
Dato najib kata ekonomi kita berada di landasan kukuh..,pos,non-sarc
Naik yuran pengajian la nampak gaya nya.,pos,sarc
"Ipta akan menjual nasi lemak ,buka mekanik,kedai makan ,pub di campus nanti",pos,sarc
Aikk xstabil... hari tu Pinocchio KERAjaan tu kata ekonomi berada dlm keadaan stabil.. mcm mana ni ...,pos,sarc
"Gila...alasan utk naikkan yuran... PTPTN lagi pelajar nk kene hadap... Pastu ramai rakyat x mampu nak belajar. Jadilah pandir... Last sekali undi UMNOlagi, dah xcerdik.... Memang jahat dan licik menteri BN ni!",neg,non-sarc
Boleh bungkus pak2 menteri ni.. Dah x lama da ni.. Sabo ckit je lagi... ??,pos,sarc
Org ni kata ekonomi berada di landasan yg kukuh.. unjuran pendapatan negara meningkat.. menteri ni kata lain plak.. mmm hangpa ni dh kenapa.. punggoq betui,neg,sarc
"Kerajaan hanya tahu curi duit rakyat,memang keadaan sekarang semakin menyusahkan rakyat,duit semua menteri yg kaya,boooooo babi punya menteri",neg,sarc
Kurang stabil pemenda nya setan... kate gst ade bleh naik ekonomi.. tol ko da naik kan..haramjadah nye kerajaan,neg,non-sarc
Pak Deris ni buat lawak pulak dah.Najib kata ekonomi kukuh tapi dia kata kurang stabil.Elok kena pecat je dia ni.,pos,sarc
ambil separuh 2.6 billion untuk majukan pendidikan negara. bukan untuk sumbat dalam politik..,neg,non-sarc
Kalau ikm ker... poli ker... ikbn ker... bagus tu... mesin dah ada:-P,pos,sarc
Tahniah laa... Gud luck ipta!!,pos,sarc
Sape ade fully report bajet 2016 X de ape nk tgk cma nk tau permata mkcik mah dpt brpa?increase bp % huhu yg lain x minat nk tau..!!,neg,sarc
Kata ekonomi Malaysia dalam landasan yg baik masa bentang budget. Tiba2 lain pula.  ??????????... putar alam betul.,pos,sarc
ok jual kepok,pos,non-sarc
Cari dana sndri tu maknanya kne kne up yuran la ye.?gitu..torbaikk..puii,pos,sarc
Buka dobi :-P,pos,sarc
Suruh ipta buka kilang biskut :-P,pos,sarc
Penat menteri pun... cukai rakyat hilang ke mana?,neg,sarc
Suruh ipta buat hotel atau homestay untuk ibubapa atau orang luar... practical kat situ jer :-P,pos,sarc
Keh keh keh. ikot boss la cari dana dari arab. Untung2 dpt 2.6 b,pos,sarc
Ipta cri dana sndri .. Hbes la student lpas manjang kne saman jela dgn pihak pentadbiran..,pos,sarc
Laaa ekonomi negara xstabil ke?? Oiii gst setahun 27bil kot..bgi je rm2 bil utk pelajaran percuma.jgn nk kedekot sgt!,neg,sarc
Ada jgk menteri yg mengaku sendiri ekonomi malaysia berada ditahap KURANG STABIL....baguslah.,pos,sarc
Makin ramailah bebudak student buat MLM....,pos,sarc
Pelajar keno ppakat jual tapai tlg cari dana.. .,pos,sarc
ape ni idris...tak sehaluan dgn najib toyol botak bibir pink... dia kata ekonomi Malaysia pada tahap yg sgt bagus kan...,pos,sarc
senang je...potong je gaji menteri dan ahli parlimen 25%..then mansuhkan elaun merapu meraban 2...dkt situ je dah save brp byk...universiti tmpt pelajar mencari ilmu bkn company besar yg berniaga gas dan minyak..apa bangang menteri skrg ni..mana pergi hasil gst??,pos,non-sarc
Naik yuran 200%,pos,sarc
Biar betul? Mcmane lah nasib pendidikan di malaysia nnt? Anak2 kita yg nk belajar tu.. Nampak tak permainan dia?,pos,sarc
Jumpa tok arab mintak dana passss tu diam2 jgn bagitau sapa sapa taww...,pos,sarc
"Naikkan yuran, habis cerita. Yahoooo",pos,sarc
UM wajib buat sbb apa guna RND selama ini.,pos,non-sarc
Xlama lagi yuran naik lah sebab kena cari dana sendiri,pos,non-sarc
"Siaplah,  yuran universiti akan naik. ??",pos,sarc
Dia bagi hint dah tu,pos,sarc
Nama pun IPTAwam..bukan IPTSwasta..knp sampai kena cari dana sendiri...padoh la gomen ni...,pos,sarc
Spttnya gaji menteri potong bg ke ipta.. Bantu semua kaum tuk belajar...... Ingt yg semua masuk U mak pak kaya Bodoh punya menteri....,neg,non-sarc
Ppuuiihh,neg,sarc
Cari dana sendiri..bagosss...apa lg naikkan yuran le..kan ke senang..,pos,sarc
tsk tsk tsk. xlme lg yuran nek la tu. good job.,pos,sarc
Mntri bodoh ckp mcm nie la jdi,neg,non-sarc
Duit xdop perabis ke kroni,neg,non-sarc
"Najib dah kantoi. Atau idris jusoh tak buat kerja, tak bg cadagan.",neg,non-sarc
Ok,pos,non-sarc
Vongokkkzz punye menteri,neg,sarc
Pulok dh..,pos,sarc
Kenapa kerajaan tak cari dana sendiri...takda duit aje cari rakyat utk tanggung perbelanjaan. Bila duit ada bagi perabis dgn kroni2,neg,non-sarc
"Bodoh serupa lembut, kt situ student jer banyak nk cari income  dari students camno, yang tak cukup makan pun ade Bongos, situ tempat orang timba ilmu bukan tempat cari untung. Benak sungguh....",neg,non-sarc
pelik jer bunyi “ekonomi negara yang kini berada pada tahap yang kurang stabil.” sebelum ni kata ekonomi negara stabil???,pos,sarc
dia nk bgtau jgn mengharap pd gov..,pos,non-sarc
aik..bkn botak arituh ckp ekonomj kita tgh berkembang ke..??paling baik seantero benua...kencing betul hah..,neg,sarc
Ingt senang ka,pos,sarc
mentri  umno ne bahlul... Kalau ckp di tv c najib semua untung.......ITU DANA SEBNARNYA SEMUA CUKUP...TAPI BILA KENA SARINGAN OLEH MENTRI2.DANA TU JADI SIPUT........ TENGOK SENDIRI PENDIDIKAN YG MENTRINYA IDRIS JUSOH....TUNGANG LANGANG...,neg,non-sarc
Buto lh,neg,non-sarc
Rasanya negara kita kaya dgn hasil bumi..kemana semuanya..kne telan bumi ke...,pos,sarc
Apa kata klu kementerian pendidikan tggi ngan kementerian pelajaran digabungkan jimat la sikit..pastu Apa kata klu dato letak jawatan?jimat sikit belanje..,pos,sarc
Kat mana nak cari bodoh...paling senang naikkan yuranlah..mcm kerajaan  buat skrg..,neg,sarc
khinzir tul..sjk dbwh krjaan skrg..yg kya snng hye dorg,neg,sarc
Pakat juai cucuq pisang cari dana seniri..,pos,sarc
Cara utk menaikkan yuran pengajiaan dimalaysia.... Apa guna Ada gst....,pos,sarc
Jual tanah laaa,pos,sarc
Tu tanda2 masuk u kena tanggung sendirilah tu ....,pos,sarc
Kase free laa ahahhaa,pos,sarc
Elok jadi banduan la dr jd student skg,neg,sarc
mkn mju mkin myusahkn rkyt..pundett..,neg,sarc
Ipt awam cari dana sendiri mabuk ka menteri ni...,neg,sarc
patot la mcm mcm yuran naik mendadak.. sticker kenderaan yang sebelom neh rm5 pon bole naik jadi rm30... yuran asrama pon naik jugak,neg,non-sarc
"Disebabkan peruntukan kurang, kena cari sendiri yang lebih...",pos,non-sarc
Kan dah kata..... tamparan pertama bajet 2016,pos,sarc
Kita TIDAK PERNAH mendengar PM kata ekonomi tidak stabil,pos,sarc
Terbaik. Baru reti reka benda yg bole jual. Yg cantek manis boleh belakon sambilan jadi model,pos,sarc
Lu orang sedap buat wang besar..sekolah punya tempat lo suruh kerja cari wang .bodo,neg,non-sarc
Sekejap kata ekonomi bagus.. d landasan yg btol dan mcm2 sedap d dengar.. tiba2 gini lak cer... alahai...,pos,sarc
hahaha duit dah abes kat 1mdb ke? suruh la depa cari dana sendiri,pos,sarc
Aik kurang stabil ka?aku tengok tv3 hari2 berita kata ekonomi negara makin naik,pos,sarc
"Kalau IPTA di bawah 1MDB,  senang jer dapat dana...hahahaha",pos,sarc
Ekonomi negara PD tahap kurang stabil???? Apa beruk ni kata??? Masa bajet ...bapak beruk kata ...ekonomi Msia PD tahap baik utk capai wawasan 2020??? Mana SATU yg betul? Beruk ke bapak beruk??,neg,non-sarc
Eh kata ekonomi stabil..kata kita antara yg terbaik ekonomi...pa cita?,pos,sarc
Lebih baik IPTA diswastakan kalau kena cari dana sendiri..,pos,non-sarc
Kasi naik yuran la...apa susah...rakyat berpusu2 nak tolong ni...,pos,sarc
Wakakakakaka...  Apa guna kerajaan?  Sialan,neg,sarc
najib razak kata ekonomi kita kukuh dan memberangsangkan.. mmm,pos,sarc
makin teruk da pemikiran menteri2x kerajaan malaysia nie...makin lama makin mencarut....xcukup dgn GST???......,neg,sarc
"Ipta buat event cari dana sendiri .bila event berjaya dan dpt perhatian dunia . Dgn selamber nye menteri2 nie td tnjuk muka dan dpt nama . Knape semua nie berlaku ?? Come on , ko dduk dkt malaysia . Korupsi , rasuah dan simen menyimen ialah misi dan visi KERAjaan .",pos,sarc
Kurang stabil..? Tp bila dgr berita tv3 smuanya baik dn maju mngalahkn ekonomi negara maju...,pos,sarc
Tgok..nampk dh prmainan dia..bentang budget juta2..tp nk sedut balik sruh ipta cr dana sndri..haha,pos,sarc
hahaha.. jd ipts la.. naik yuran. bru masyukkk,pos,sarc
sepatutnya taim ekonomi meleset ni la pak menteri nk tnjuk kredibiliti mereka sume.....mintak potong gaji 20% ka...barula nampak jnis menteri yg betanggung jawab..ni sume pakat dok jaga perut masing2...mcm haram...keje nak menyusahkan rakyat je..,neg,sarc
Hmmm expected,pos,sarc
"Makin maju negara, makin tersepit rakyat, bodohkn menteri2 yg membazirkn wang rakyat,",neg,non-sarc
Kesian..,pos,sarc
Berattttt....suruh U cari dana sendiri..kerajaan apa fungsi??? Last2  ibu bapa student jgk yg kene.,neg,sarc
"Dah tersasar banyak ni,selagi najib pegang ni la jadinya menteri bengong semua ke parlimen yg cerdik diketepikan",neg,non-sarc
"Aik baru je bentang bajet najib cakap ekonomi malaysia ditahap baik malah lebih baik dari tahun 1998,nak fitnah tu agak2 la tak tengok tv rtm,tv3 dan baca utusan ke?",pos,sarc
Sepatutnya menteri kabinet ni tak payah bayar Gaji....Gesa cari dana sendiri....pandai2 lah kutip derma ke,pos,sarc
"Dana kepala hotak ko berjambul,  yuran naek,  cas tu cas nie, laknat  lor ko nie",neg,non-sarc
Cara mudah..naik yuran sebanyak rm100..dpt 2 juta utk 1 sem..kalau pelajar 20k..,pos,non-sarc
Pulak dah.... ingt senang nak cari dana sendiri,pos,sarc
Pulak.. Lepas ni apa lagi? Berita yang mengecewakan,pos,sarc
Sbnarnye senang je ipta ni nk cari dana y bnyk.. Naikkn yuran jela.. Mmg sblm ni pun mcm tu.. Koperasi sendiri ada tp mcm hidup segan mati xnk..,pos,non-sarc
Kesian ipta lepas ni...jenuh cari dana mcm sek rendah dgn menengah...mana pi hasil gst pon tak tau......,neg,non-sarc
apa kata buat dlm kementerian dato idris dulu klu berjaya br suh jbtn bwh dato tu ikut cari dana sendiri.jimat sikit peruntukkan tahunan gov,pos,non-sarc
songlap sakan sampai xcukup dana ke??,neg,non-sarc
naikkan kos pengajian la tu...,pos,non-sarc
Buang brim dan buang gst.  Yg rakyat nak harga turun.  Bukan duit untuk beli brg mahal.  Sekian.,neg,sarc
Dulu TUN M jaga xdok GST rilex je..rakyat senang lenang lg hidup xpening psl belanjawan..skrg???haktuiii..,neg,sarc
Itu maksudnya kerajaan gagal mengawal perbelanjaan sebelum gst lagi..so wujudnya gst untuk tutup lubang..pastu puji gst selamatkn negara..haha,neg,sarc
Hahahaha......,pos,sarc
Apa yg engkau merepek ni..bahlolll..hikhikkkk,neg,sarc
kepala hotak kau berita harian,neg,sarc
Cukai atas cukai.....cukai sdh berlipat2 ganda jadinya....xtrasa haram ke whai menteri2?,pos,sarc
Inflasi makin tinggi la jwpnya haha...pengguna akan berkira utk beli brg sb gst..,pos,sarc
Sblm ni ckp ekonomi asyik naik jer..mau tipu olang ka? per cer?,neg,sarc
Pemerintahan menipu rakyat dan menjanam negara tak boleh berfikiran matang dan berjiwa Malaya hanya berjiwa Wang ringgit semata- mata untuk memenuhi poket2 mereka semua,neg,non-sarc
"Naik lagi banyak lagi bagus , yang tak ada slip gaji , selamat malam.......",pos,sarc
Gst di adakan sbb nak recover belanjawan najib yg melampau yg lepas lepas..gitu lh jawabnye...sbb tu lh nakkan juga gst.ni...biar rakyat yg tanggung..,pos,sarc
mampus,neg,non-sarc
Geng Suka Tipu Geng SongkOk Tinggi Geng sampai Tua ...,neg,non-sarc
Hahaha. ..,pos,sarc
Hanya org kaya raya je tk rasa susah nya ...tgu pru akan datang habis lh umno conform..rakyat dh muakkkk...,neg,non-sarc
Dulu takda pun GST belanjawan negara mantap skrg hampir bangrap....,pos,sarc
Kita patut tengok dr mana puncanya. Hapuskan puncanya dulu sebelum proses pemulihan.,pos,non-sarc
"cukai atas cukai.....puuuiiii, rakyat yg ssh, org depa senang lenang.............bln2 trm gj dng bonos......#malaysiatakamanlagikorangade",neg,sarc
Dasar penipu...,neg,non-sarc
Kepala bana nah,neg,non-sarc
GST mmg ssh kn rakyat..,neg,non-sarc
Sebelum ni tak jd gitu pun....setahu saya selepas GST br jd mcm ni....apa punya membongak.....,neg,sarc
Ermmm....propa,pos,sarc
"tol pon naik, jilake",neg,non-sarc
hebat sgguh pemimpin kita ..alasan demi alasan,pos,sarc
buat ssah org je kerana gst siapa kaya org miskin mcm mna plak fkir la semua brg dah naik hrga apa lgi itu pun nk kena bgi tau ke fham la skit,neg,non-sarc
duit kami gak.... aduh,pos,sarc
Kamu merompak kami yg tanggung,neg,sarc
"Najib salahkan ekonomi dunia, alah utuh",neg,sarc
"Hangpa yg komen2 ni betui ke pandai ekonomi ke main tembak aje ,dengak org lain komen hangpa pun nak komen,kalau pandai sgt..ekonomi rumah tangga sendiri jagalah betui2..cuba buat surplus bajet..",pos,sarc
Kekhinziran najib semua ni!!,neg,non-sarc
Stop kan aje pemberian brim tu..budget tok brim tu disalurkan tok subsidi bg kurangkan kos sara hidup,neg,non-sarc
Pui pm  tak guna.,neg,sarc
"Ye la, dh puak2 atas mkn sume. Rakyat kena tggung pe hal!",neg,sarc
Pembohong,neg,non-sarc
Ketara betul hisap darah rakyat....,neg,sarc
Gst jahannam..tolong lenyapkn ..pm oh pm..pekak.tamak..tak nk ikut cakp rakyat..sengsaralh rakyat dibuatnya,neg,non-sarc
Bahana 1mdb,neg,non-sarc
